en,ru
Who do you think will be chosen?,"Как думаешь, кого изберут?"
Who do you think will be chosen?,"Кого, по-твоему, выберут?"
Who do you think you are?,Ты кто такой?
Who do you think you are?,Кем ты себя возомнил?
Who do you want to speak to?,С кем ты хочешь поговорить?
Who do you want to speak to?,С кем ты хочешь поговорить?
Who do you work for?,На кого ты работаешь?
Who do you work for?,На кого ты работаешь?
Who does Tony like?,Кому нравится Тони?
Who does Tony like?,Кого любит Тони?
Who does Toshio like?,Кому нравится Тосио?
Who does Toshio like?,Кому нравится Тосио?
Who else came to the party?,Кто еще пришел на вечеринку?
Who else came to the party?,Кто еще пришел на вечеринку?
Who ever can it be?,Кто бы это мог быть?
Who ever can it be?,Кто бы это мог быть?
Who has taken my handbag?,Кто взял мою сумочку?
Who has taken my handbag?,Кто забрал мою сумочку?
Who has torn the envelope open?,Кто разорвал конверт?
Who has torn the envelope open?,Кто разорвал конверт?
Who invented the telephone?,Кто изобрёл телефон?
Who invented the telephone?,Кто изобрёл телефон?
Who is absent?,Кого нет?
Who is absent?,Кого нет?
Who is behind the plot?,Кто стоит за заговором?
Who is behind the plot?,Кто стоит за заговором?
"Who is calling, please?","Кто звонит, пожалуйста?"
"Who is calling, please?","Кто звонит, пожалуйста?"
Who is coming with me?,Кто со мной?
Who is coming with me?,Кто поедет со мной?
Who is going to look after our dog?,Кто будет присматривать за нашей собакой?
Who is going to look after our dog?,Кто будет присматривать за нашей собакой?
Who is in fault?,Кто виноват?
Who is in fault?,Кто виноват?
Who is on duty?,Кто на дежурстве?
Who is on duty?,Кто на дежурстве?
Who is that girl waving to you?,"Кто эта девушка, машет тебе?"
Who is that girl waving to you?,"Кто эта девчонка, машет тебе?"
Who is the boy that is swimming over there?,"Кто тот парень, который плавает вон там?"
Who is the boy that is swimming over there?,"Кто тот парень, что плавает вон там?"
Who is the girl in the pink dress?,Кто эта девушка в розовом платье?
Who is the girl in the pink dress?,Кто эта девушка в розовом платье?
Who is the inventor of the radio?,Кто изобретатель радио?
Who is the inventor of the radio?,Кто изобрел радио?
Who is the man playing the piano?,"Кто этот человек, играющий на пианино?"
Who is the man playing the piano?,"Кто этот человек, играющий на пианино?"
Who is the man playing the violin?,"Кто этот человек, играющий на скрипке?"
Who is the man playing the violin?,"Кто этот человек, играющий на скрипке?"
Who is the man sitting at the other end of the table?,"Кто этот человек, сидящий за другим концем стола?"
Who is the man sitting at the other end of the table?,"Кто этот человек, сидящий на другом конце стола?"
Who is the manager of that baseball team?,Кто менеджер этой бейсбольной команды?
Who is the manager of that baseball team?,Кто менеджер этой бейсбольной команды?
Who is the tallest of all?,Кто самый высокий?
Who is the tallest of all?,Кто самый высокий из всех?
"Who is this, please?","Кто это, пожалуйста?"
"Who is this, please?","Кто это, пожалуйста?"
Who is your teacher?,Кто твой учитель?
Who is your teacher?,Кто твой учитель?
Who left the door open?,Кто оставил дверь открытой?
Who left the door open?,Кто оставил дверь открытой?
"Who loves not women, wine and song remains a fool his whole life long.","Который не любит женщин, вино и песня остаются глупостью всю свою жизнь."
"Who loves not women, wine and song remains a fool his whole life long.","Которая не любит женщин, вино и песня остаются дураком всю свою жизнь."
Who made the doll?,Кто сделал куклу?
Who made the doll?,Кто сделал куклу?
Who made this plan?,Кто составил этот план?
Who made this plan?,Кто придумал этот план?
Who organized that meeting?,Кто организовал эту встречу?
Who organized that meeting?,Кто организовал эту встречу?
Who painted these pictures?,Кто нарисовал эти фотографии?
Who painted these pictures?,Кто нарисовал эти фотографии?
Who painted this painting?,Кто нарисовал эту картину?
Who painted this painting?,Кто нарисовал эту картину?
Who planned that trip?,Кто планировал эту поездку?
Who planned that trip?,Кто планировал эту поездку?
"Who runs faster, Yumi or Keiko?","Кто бегает быстрее, Юми или Кейко?"
"Who runs faster, Yumi or Keiko?","Кто бегает быстрее, Юми или Кейко?"
Who said that? It's totally wrong!,Кто это сказал? Это совершенно неправильно!
Who said that? It's totally wrong!,Кто это сказал? Это совершенно неправильно!
"Who searches, finds.","Кто ищет, находит."
"Who searches, finds.","Кто ищет, находит."
Who started Disneyland?,Кто начал Диснейленд?
Who started Disneyland?,Кто основал Диснейленд?
Who taught you how to dance?,Кто научил тебя танцевать?
Who taught you how to dance?,Кто научил тебя танцевать?
Who taught you to play the piano?,Кто научил тебя играть на пианино?
Who taught you to play the piano?,Кто научил тебя играть на пианино?
Who teaches you French?,Кто преподает тебе французский?
Who teaches you French?,Кто преподает тебе французский?
Who took care of the dog while you were away?,"Кто заботился о собаке, пока тебя не было?"
Who took care of the dog while you were away?,"Кто заботился о собаке, пока тебя не было?"
Who wants some hot chocolate?,Кто хочет горячего шоколада?
Who wants some hot chocolate?,Кто хочет горячего шоколада?
Who was the book written by?,Кто написал книгу?
Who was the book written by?,Кто написал книгу?
Who was the letter written to?,Кому было написано письмо?
Who was the letter written to?,Кому было написано письмо?
Who were you talking with?,С кем ты говорил?
Who were you talking with?,С кем ты разговаривал?
Who will compensate for the loss?,Кто возместит потерю?
Who will compensate for the loss?,Кто возместит потерю?
Who will fill in for Tom when he is away?,"Кто заменит Тома, когда он будет в отъезде?"
Who will fill in for Tom when he is away?,"Кто заменит Тома, когда он будет в отъезде?"
Who will take care of your cat then?,Кто тогда позаботится о твоей кошке?
Who will take care of your cat then?,Кто тогда позаботится о твоей кошке?
Who wrote Hamlet?,Кто написал Гамлета?
Who wrote Hamlet?,Кто написал Гамлета?
Who wrote the letter?,Кто написал письмо?
Who wrote the letter?,Кто написал письмо?
Who wrote this book?,Кто написал эту книгу?
Who wrote this book?,Кто написал эту книгу?
Who's going to clear up all this mess?,Кто все уладит?
Who's going to clear up all this mess?,Кто разберётся со всем этим беспорядком?
Who's that boy standing at the door?,"Кто этот мальчик, стоящий у двери?"
Who's that boy standing at the door?,"Кто этот парень, стоящий у двери?"
Who's the girl in a yellow raincoat?,Кто эта девушка в жёлтом плаще?
Who's the girl in a yellow raincoat?,Кто эта девушка в жёлтом плаще?
Who's winning?,Кто выигрывает?
Who's winning?,Кто выигрывает?
"Whoever comes, don't open the door.","Кто бы ни пришел, не открывай дверь."
"Whoever comes, don't open the door.","Кто бы ни пришел, не открывай дверь."
Whom are you speaking of?,О ком ты говоришь?
Whom are you speaking of?,О ком ты говоришь?
Whose idea was it?,Чья это была идея?
Whose idea was it?,Чья это была идея?
Whose is the book on the desk?,Чья книга на столе?
Whose is the book on the desk?,Чья книга на столе?
Whose is the dictionary on the table?,Чья словарь на столе?
Whose is the dictionary on the table?,Чей словарь на столе?
Whose is this?,Чья это?
Whose is this?,Чей это?
"Why am I shooting these guys, tell me, what have they done?","Зачем я стреляю в этих парней, скажи мне, что они сделали?"
"Why am I shooting these guys, tell me, what have they done?","Зачем я стреляю в этих парней, скажи мне, что они сделали?"
Why am I the only one they complain of? They're just making an example out of me and using me as a scapegoat.,Почему только на меня они жалуются? Они просто делают из меня пример и используют меня как козла отпущения.
Why am I the only one they complain of? They're just making an example out of me and using me as a scapegoat.,Почему они жалуются только на меня? Они просто делают из меня пример и используют меня как козла отпущения.
Why are there no taxis at the station today?,Почему сегодня на станции такси нет?
Why are there no taxis at the station today?,Почему сегодня на станции нет такси?
Why are you angry with him?,Почему ты на него злишься?
Why are you angry with him?,Почему ты на него злишься?
Why are you asking?,Почему ты спрашиваешь?
Why are you asking?,Почему ты спрашиваешь?
Why are you being so secretive?,Почему ты такой скрытный?
Why are you being so secretive?,Почему ты такой скрытный?
Why are you crying?,Почему ты плачешь?
Why are you crying?,Почему ты плачешь?
Why are you drying your hair?,Почему ты стираешь волосы?
Why are you drying your hair?,Почему ты стираешь волосы?
Why are you here when you should be in school?,"Почему ты здесь, когда должна быть в школе?"
Why are you here when you should be in school?,"Почему ты здесь, когда должна быть в школе?"
Why are you holding my hands?,Почему ты держишь меня за руки?
Why are you holding my hands?,Почему ты держишь меня за руки?
Why are you in such a hurry?,Почему ты так спешишь?
Why are you in such a hurry?,Почему ты так спешишь?
Why are you so angry with him?,Почему ты так на него злишься?
Why are you so angry with him?,Почему ты так злишься на него?
Why are you so happy?,Почему ты так счастлива?
Why are you so happy?,Почему ты так счастлива?
Why are you so late?,Почему ты так поздно?
Why are you so late?,Почему ты так поздно?
Why are you so sure of his success?,Почему ты так уверен в его успехе?
Why are you so sure of his success?,Почему ты так уверен в его успехе?
Why are you so tired today?,Почему ты сегодня так устала?
Why are you so tired today?,Почему ты сегодня так устала?
Why are you sorry for something you haven't done?,"Почему ты жалеешь о том, чего не сделал?"
Why are you sorry for something you haven't done?,"Почему ты сожалеешь о том, чего не сделал?"
Why are you under the desk?,Почему ты под столом?
Why are you under the desk?,Почему ты под столом?
Why are your ears so big?,Почему у тебя такие большие уши?
Why are your ears so big?,Почему у тебя такие большие уши?
Why are your eyes so big?,Почему у тебя такие большие глаза?
Why are your eyes so big?,Почему у тебя такие большие глаза?
Why aren't you coming with us?,Почему ты не пойдешь с нами?
Why aren't you coming with us?,Почему ты не идешь с нами?
Why ask me? Wouldn't it be better to do it yourself?,Зачем меня спрашивать? Разве не лучше сделать это самому?
Why ask me? Wouldn't it be better to do it yourself?,Почему ты меня спрашиваешь? Разве не лучше сделать это самому?
Why can Taro speak English so well?,Почему Таро так хорошо говорит по-английски?
Why can Taro speak English so well?,Почему Таро так хорошо говорит по-английски?
Why can't we tickle ourselves?,Почему мы не можем пощекотать себя?
Why can't we tickle ourselves?,Почему мы не можем пощекотаться?
Why can't you come?,Почему ты не можешь прийти?
Why can't you come?,Почему ты не можешь прийти?
Why can't you take things just as they are?,"Почему ты не можешь принимать вещи такими, какими они есть?"
Why can't you take things just as they are?,"Почему ты не можешь принимать вещи такими, какими они есть?"
Why did Bill tear the letter into pieces?,Почему Билл разорвал письмо на куски?
Why did Bill tear the letter into pieces?,Почему Билл разорвал письмо на куски?
Why did he change his plans?,Почему он изменил свои планы?
Why did he change his plans?,Почему он изменил свои планы?
Why did he come with her?,Зачем он пошёл с ней?
Why did he come with her?,Почему он пошёл с ней?
Why did he quit his job?,Почему он бросил работу?
Why did he quit his job?,Почему он бросил работу?
Why did he run away?,Почему он сбежал?
Why did he run away?,Почему он сбежал?
Why did he stop smoking?,Почему он бросил курить?
Why did he stop smoking?,Почему он бросил курить?
Why did her father go to Japan?,Почему ее отец уехал в Японию?
Why did her father go to Japan?,Почему ее отец поехал в Японию?
Why did she ask for our help?,Почему она попросила нас о помощи?
Why did she ask for our help?,Почему она попросила нас о помощи?
Why did she come home early?,Почему она вернулась домой пораньше?
Why did she come home early?,Почему она вернулась домой пораньше?
Why did she interrupt me?,Почему она меня перебивала?
Why did she interrupt me?,Почему она меня перебивала?
Why did you choose that particular subject?,Почему вы выбрали именно эту тему?
Why did you choose that particular subject?,Почему вы выбрали именно эту тему?
Why did you come early?,Почему ты приехала раньше?
Why did you come early?,Почему ты пришёл пораньше?
Why did you come home so late?,Почему ты так поздно вернулся домой?
Why did you come home so late?,Почему ты так поздно вернулся домой?
Why did you come to Japan?,Зачем ты приехал в Японию?
Why did you come to Japan?,Зачем вы приехали в Японию?
Why did you get lost in the woods?,Почему ты заблудился в лесу?
Why did you get lost in the woods?,Почему ты заблудился в лесу?
Why did you get so angry at his mistake?,Почему ты так разозлилась на его ошибку?
Why did you get so angry at his mistake?,Почему ты так разозлилась на его ошибку?
Why did you get so angry?,Почему ты так разозлилась?
Why did you get so angry?,Почему ты так разозлилась?
Why did you get up so early?,Почему ты встал так рано?
Why did you get up so early?,Почему ты встал так рано?
Why did you give up the idea of learning French?,Почему ты отказался от идеи изучения французского?
Why did you give up the idea of learning French?,Почему ты отказался от идеи изучения французского?
Why did you go to Tokyo?,Зачем ты поехал в Токио?
Why did you go to Tokyo?,Зачем ты поехал в Токио?
Why did you open the box?,Зачем ты открыл коробку?
Why did you open the box?,Зачем ты открыл коробку?
Why did you paint the bench red?,Почему ты красный скамейку покрасил?
Why did you paint the bench red?,Почему ты покрасил скамейку в красный цвет?
Why did you quit?,Почему ты уволился?
Why did you quit?,Почему ты уволился?
Why did you run away?,Почему ты сбежал?
Why did you run away?,Почему ты сбежала?
Why did you say such a thing?,Почему ты так сказал?
Why did you say such a thing?,Почему ты так сказал?
Why did you tear the cloth instead of cutting it with scissors?,"Зачем ты порвал ткань вместо того, чтобы резать ее ножницами?"
Why did you tear the cloth instead of cutting it with scissors?,"Почему ты порвал ткань вместо того, чтобы резать ее ножницами?"
Why did you turn down his offer?,Почему ты отклонил его предложение?
Why did you turn down his offer?,Почему вы отклонили его предложение?
Why did you use up all the money?,Почему ты потратил все деньги?
Why did you use up all the money?,Почему ты потратил все деньги?
Why didn't you attend the class meeting?,Почему ты не на собрании?
Why didn't you attend the class meeting?,Почему ты не пришёл на классную встречу?
Why didn't you believe me?,Почему ты мне не поверил?
Why didn't you believe me?,Почему ты мне не поверил?
Why didn't you come?,Почему ты не пришла?
Why didn't you come?,Почему ты не пришёл?
Why didn't you dance with him?,Почему ты не потанцевала с ним?
Why didn't you dance with him?,Почему ты не потанцевала с ним?
Why didn't you follow my advice?,Почему ты не последовал моему совету?
Why didn't you follow my advice?,Почему ты не последовал моему совету?
Why didn't you get one before we left?,"Почему ты не купила его перед тем, как мы ушли?"
Why didn't you get one before we left?,"Почему ты не купил его перед тем, как мы ушли?"
Why didn't you let me know you were in New York?,"Почему ты не сказал мне, что ты в Нью-Йорке?"
Why didn't you let me know you were in New York?,"Почему ты не дал мне знать, что ты в Нью-Йорке?"
Why didn't you look at the picture?,Почему ты не посмотрел на фото?
Why didn't you look at the picture?,Почему ты не посмотрел на фотографию?
Why didn't you say anything?,Почему ты ничего не сказал?
Why didn't you say anything?,Почему ты ничего не сказал?
Why didn't you tell her?,Почему ты ей не сказал?
Why didn't you tell her?,Почему ты ей не сказал?
Why didn't you tell us about this earlier? We'd have been able to do something about it.,Почему ты не рассказал нам об этом раньше? Мы бы могли что-нибудь сделать.
Why didn't you tell us about this earlier? We'd have been able to do something about it.,Почему ты не рассказал нам об этом раньше? Мы могли бы что-то с этим сделать.
Why didn't you try the dress on before you bought it?,"Почему ты не примерил платье перед тем, как купить его?"
Why didn't you try the dress on before you bought it?,"Почему ты не примерил платье перед тем, как купить его?"
Why do American parents praise their children?,Почему американские родители хвалит своих детей?
Why do American parents praise their children?,Почему американские родители хвалят своих детей?
Why do many people like John Lennon so much?,Почему многие люди так любят Джона Леннона?
Why do many people like John Lennon so much?,Почему многие так любят Джона Леннона?
Why do people go to the movies?,Почему люди ходят в кино?
Why do people go to the movies?,Почему люди ходят в кино?
Why do they call New York the Big Apple?,Почему они называют Нью-Йорк Большим Яблоком?
Why do they call New York the Big Apple?,Почему они называют Нью-Йорк Большим Яблоком?
Why do we have dreams?,Почему у нас есть мечты?
Why do we have dreams?,Почему у нас есть мечты?
Why do you accuse my son?,Почему вы обвиняете моего сына?
Why do you accuse my son?,Почему вы обвиняете моего сына?
Why do you ask?,Почему ты спрашиваешь?
Why do you ask?,Почему ты спрашиваешь?
Why do you blame me for what happened?,"Почему ты винишь меня в том, что случилось?"
Why do you blame me for what happened?,Почему ты винишь меня в случившемся?
Why do you like coffee strong?,Почему ты любишь крепкий кофе?
Why do you like coffee strong?,Почему ты любишь крепкий кофе?
Why do you need change?,Зачем тебе мелочь?
Why do you need change?,Зачем тебе мелочь?
Why do you need it?,Зачем он тебе?
Why do you need it?,Зачем он тебе нужен?
Why do you say that?,Почему ты так говоришь?
Why do you say that?,Почему ты так говоришь?
Why do you study English every day?,Почему ты каждый день учишь английский?
Why do you study English every day?,Почему ты каждый день занимаешься английским?
Why do you study every day?,Почему ты учишься каждый день?
Why do you study every day?,Почему ты учишься каждый день?
Why do you study so hard?,Почему ты так усердно учишься?
Why do you study so hard?,Почему ты так усердно учишься?
Why do you study?,Почему ты учишься?
Why do you study?,Почему ты учишься?
Why do you take such a risk?,Почему ты так рискуешь?
Why do you take such a risk?,Почему ты так рискуешь?
Why do you think he said so?,"Почему, по-твоему, он так сказал?"
Why do you think he said so?,"Как ты думаешь, почему он так сказал?"
Why do you think so?,Почему ты так думаешь?
Why do you think so?,Почему ты так думаешь?
Why do you want stamps?,Зачем тебе марки?
Why do you want stamps?,Зачем тебе марки?
Why do you want to be a doctor?,Почему ты хочешь быть врачом?
Why do you want to be a doctor?,Почему ты хочешь быть врачом?
Why do you want to buy this book?,Зачем ты хочешь купить эту книгу?
Why do you want to buy this book?,Почему ты хочешь купить эту книгу?
Why do you want to leave today?,Почему ты хочешь уйти сегодня?
Why do you want to leave today?,Почему ты хочешь уехать сегодня?
Why do you want to study abroad?,Почему ты хочешь учиться за границей?
Why do you want to study abroad?,Почему ты хочешь учиться за границей?
Why do you work here?,Почему ты здесь работаешь?
Why do you work here?,Почему ты здесь работаешь?
Why does everything happen to me?,Почему со мной все происходит?
Why does everything happen to me?,Почему со мной все происходит?
"Why does one say ""Good day"" when the day is not good?","Почему говорят ""доброе утро"", когда день не очень хороший?"
"Why does one say ""Good day"" when the day is not good?","Почему говорят ""добрый день"", когда день нехороший?"
Why does that require an apology?,Почему это требует извинений?
Why does that require an apology?,Почему это требует извинений?
Why does the US government let people have guns?,Почему правительство США разрешает людям иметь оружие?
Why does the US government let people have guns?,Почему правительство США разрешает людям иметь оружие?
Why don't we go home?,Почему бы нам не пойти домой?
Why don't we go home?,Почему бы нам не пойти домой?
Why don't we order pizza?,Почему бы нам не заказать пиццу?
Why don't we order pizza?,Почему бы нам не заказать пиццу?
Why don't we take a taxi?,Почему бы нам не взять такси?
Why don't we take a taxi?,Почему бы нам не взять такси?
Why don't you come dancing with me?,Почему бы тебе не пойти со мной на танцы?
Why don't you come dancing with me?,Почему бы тебе не потанцевать со мной?
Why don't you come in?,Почему бы тебе не зайти?
Why don't you come in?,Почему бы тебе не зайти?
Why don't you come visit us?,Почему бы тебе не навестить нас?
Why don't you come visit us?,Почему бы тебе не навестить нас?
Why don't you dine out with me for a change?,Почему бы тебе не поужинать со мной?
Why don't you dine out with me for a change?,Почему бы тебе не поужинать со мной?
Why don't you eat vegetables?,Почему ты не ешь овощи?
Why don't you eat vegetables?,Почему ты не ешь овощи?
Why don't you ever say it?,Почему ты никогда не говоришь этого?
Why don't you ever say it?,Почему ты никогда не говоришь этого?
Why don't you give it another try?,Почему бы тебе не попробовать еще раз?
Why don't you give it another try?,Почему бы тебе не попробовать еще раз?
Why don't you give tennis a try?,Почему бы тебе не попробовать теннис?
Why don't you give tennis a try?,Почему бы тебе не попробовать теннис?
Why don't you give up smoking?,Почему бы тебе не бросить курить?
Why don't you give up smoking?,Почему бы тебе не бросить курить?
Why don't you give your mouth a rest?,Почему бы тебе не отдохнуть?
Why don't you give your mouth a rest?,Почему бы тебе не отдохнуть?
Why don't you go on a diet?,Почему бы тебе не сходить на диету?
Why don't you go on a diet?,Почему бы тебе не пойти на диету?
Why don't you join in the conversation?,Почему бы тебе не присоединиться к разговору?
Why don't you join in the conversation?,Почему бы тебе не присоединиться к разговору?
Why don't you put your best foot forward?,Почему бы тебе не сделать свою лучшую ногу вперед?
Why don't you put your best foot forward?,Почему бы тебе не сделать свою лучшую ногу вперед?
Why don't you rest a bit?,Почему бы тебе не отдохнуть?
Why don't you rest a bit?,Почему бы тебе не отдохнуть немного?
Why don't you stay a little while?,Почему бы тебе не остаться на некоторое время?
Why don't you stay a little while?,Почему бы тебе не подождать немного?
Why don't you study French?,Почему ты не учишь французский?
Why don't you study French?,Почему ты не учишь французский?
Why don't you wear summer clothes?,Почему бы тебе не надеть летнюю одежду?
Why don't you wear summer clothes?,Почему бы тебе не надеть летнюю одежду?
Why has the birthrate declined so sharply?,Почему рождаемость так резко снизилась?
Why has the birthrate declined so sharply?,Почему рождаемость так резко снизилась?
Why have I done it?,Зачем я это сделал?
Why have I done it?,Зачем я это сделал?
Why he did it is beyond my comprehension.,"Почему он это сделал, я не понимаю."
Why he did it is beyond my comprehension.,"Я не понимаю, зачем он это сделал."
Why is he here?,Почему он здесь?
Why is he here?,Почему он здесь?
Why is it so hot?,Почему так жарко?
Why is it so hot?,Почему так жарко?
Why is it that you are always late?,Почему ты всегда опаздываешь?
Why is it that you are always late?,Почему ты всегда опаздываешь?
Why is life so full of suffering?,Почему жизнь полна страданий?
Why is life so full of suffering?,Почему жизнь полна страданий?
Why is your mouth so big?,Почему твой рот такой большой?
Why is your mouth so big?,Почему твой рот такой большой?
Why me?,Почему я?
Why me?,Почему я?
Why not apologize and ask for his pardon?,Почему бы не извиниться и не попросить его о прощении?
Why not apologize and ask for his pardon?,Почему бы не извиниться и не попросить у него прощения?
Why not go to the movies?,Почему бы не пойти в кино?
Why not go to the movies?,Почему бы не пойти в кино?
Why not talk to her about it directly?,Почему бы не поговорить с ней об этом напрямую?
Why not talk to her about it directly?,Почему бы не поговорить с ней об этом напрямую?
Why not?,Почему?
Why not?,Почему?
Why on earth are you here?,Почему ты здесь?
Why on earth are you here?,Какого хрена ты здесь делаешь?
Why should I apologize to you?,Почему я должен перед тобой извиняться?
Why should I apologize to you?,Почему я должен перед тобой извиняться?
Why should you be so sad?,Почему ты должна быть такой грустной?
Why should you be so sad?,Почему ты должна быть такой грустной?
Why should you suspect me?,Почему ты подозреваешь меня?
Why should you suspect me?,Почему вы должны меня подозревать?
Why were you absent from school yesterday?,Почему ты вчера отсутствовала в школе?
Why were you absent from school yesterday?,Почему вы вчера отсутствовали в школе?
Why were you absent yesterday?,Почему вы отсутствовали вчера?
Why were you absent yesterday?,Почему вы отсутствовали вчера?
Why were you late this morning?,Почему ты опоздал сегодня утром?
Why were you late this morning?,Почему вы опоздали сегодня утром?
Why were you late?,Почему ты опоздал?
Why were you late?,Почему вы опоздали?
Why were you silent all the time?,Почему ты всё время молчал?
Why were you silent all the time?,Почему ты всё время молчал?
Why would you marry a woman if you like men?,"Зачем тебе жениться на женщине, если ты любишь мужчин?"
Why would you marry a woman if you like men?,"Зачем тебе жениться на женщине, если ты любишь мужчин?"
Why?,Почему?
Why?,Почему?
"Why? Because his family needed the money, that's why.","Почему? Потому что его семье нужны были деньги, вот почему."
"Why? Because his family needed the money, that's why.","Почему? Потому что его семье нужны были деньги, вот почему."
Will there be an earthquake in the near future?,Будет ли землетрясение в ближайшем будущем?
Will there be an earthquake in the near future?,Будет ли землетрясение в ближайшем будущем?
Will you explain it in plain English?,Объяснишь на английском?
Will you explain it in plain English?,Вы объясните это на простом английском?
Will you find my contact lens for me?,Ты найдешь мне контактные линзы?
Will you find my contact lens for me?,Вы найдете мои контактные линзы для меня?
Will you give me a lift to the station?,Подвезёшь меня до станции?
Will you give me a lift to the station?,Подвезёшь меня до станции?
Will you give me a light?,Дашь мне прикурить?
Will you give me a light?,Не дашь мне прикурить?
Will you give me another glass of milk?,Дашь мне еще стакан молока?
Will you give me another glass of milk?,Вы дадите мне еще стакан молока?
Will you give me something to drink?,Ты дашь мне что-нибудь выпить?
Will you give me something to drink?,Ты дашь мне что-нибудь выпить?
Will you give me your radio for my bicycle?,Дашь мне рацию на мой велосипед?
Will you give me your radio for my bicycle?,Ты дашь мне рацию для моего велосипеда?
Will you go with Tom?,Ты пойдешь с Томом?
Will you go with Tom?,Ты пойдешь с Томом?
Will you have another cup of tea?,Выпьешь еще чашечку чая?
Will you have another cup of tea?,Выпьешь еще чашечку чая?
Will you have some more pie?,Не хочешь еще пирога?
Will you have some more pie?,Хочешь еще пирога?
Will you join us for a swim?,Ты поплаваешь с нами?
Will you join us for a swim?,Ты присоединишься к нам поплавать?
"Will you keep my valuables for me, please?","Оставьте мне мои ценности, пожалуйста."
"Will you keep my valuables for me, please?","Оставьте мне мои ценности, пожалуйста."
Will you leave a message?,Оставишь сообщение?
Will you leave a message?,Оставишь сообщение?
Will you leave the door open?,Оставишь дверь открытой?
Will you leave the door open?,Ты оставишь дверь открытой?
Will you lend me your bicycle for an hour?,Ты одолжишь мне свой велосипед на час?
Will you lend me your bicycle for an hour?,Ты одолжишь мне свой велосипед на час?
Will you lend me your dictionary?,Одолжишь мне свой словарь?
Will you lend me your dictionary?,Ты одолжишь мне свой словарь?
Will you lend me your knife?,Одолжишь мне свой нож?
Will you lend me your knife?,Ты одолжишь мне свой нож?
Will you let me try once more?,Дашь мне еще раз попробовать?
Will you let me try once more?,Позволь мне еще раз попробовать?
Will you manage to repair my car?,Ты сможешь починить мою машину?
Will you manage to repair my car?,Ты сможешь починить мою машину?
Will you marry me?,Ты выйдешь за меня?
Will you marry me?,Ты выйдешь за меня?
Will you open the bag?,Открой сумку.
Will you open the bag?,Ты откроешь сумку?
Will you open the door?,Открой дверь.
Will you open the door?,Ты откроешь дверь?
Will you permit us to leave now?,Вы позволите нам уйти?
Will you permit us to leave now?,Вы позволите нам уйти?
Will you please lend me a stapler?,"Одолжи мне степлер, пожалуйста."
Will you please lend me a stapler?,"Пожалуйста, одолжи мне степлер."
Will you please put that in simpler words?,Не могли бы вы сказать это проще?
Will you please put that in simpler words?,Не могли бы вы сказать это простыми словами?
Will you put us up for one night?,Ты нас на одну ночь посадишь?
Will you put us up for one night?,Ты посадишь нас на одну ночь?
Will you send for a doctor?,Вы пришлёте врача?
Will you send for a doctor?,Вы пришлёте к врачу?
Will you send it by mail?,Вы отправите его по почте?
Will you send it by mail?,Вы отправите его по почте?
Will you send someone to fix it as soon as possible?,Вы пришлёте кого-нибудь починить его как можно скорее?
Will you send someone to fix it as soon as possible?,Вы пришлёте кого-нибудь починить его как можно скорее?
Will you show me how to set up a cot?,"Покажешь мне, как построить койку?"
Will you show me how to set up a cot?,"Ты покажешь мне, как построить койку?"
"Will you show me your passport, please?","Покажи мне свой паспорт, пожалуйста."
"Will you show me your passport, please?","Покажи мне свой паспорт, пожалуйста."
Will you sing me a Beatles' song?,Ты споешь мне песню Битлза?
Will you sing me a Beatles' song?,Ты споешь мне песню Битлза?
Will you stay at home?,Ты останешься дома?
Will you stay at home?,Ты останешься дома?
Will you take part in the ceremony?,Вы примете участие в церемонии?
Will you take part in the ceremony?,Вы примете участие в церемонии?
Will you teach me how to play chess?,Ты научишь меня играть в шахматы?
Will you teach me how to play chess?,Ты научишь меня играть в шахматы?
Will you tell me the way to the station?,Расскажешь мне дорогу в участок?
Will you tell me the way to the station?,Расскажешь мне дорогу к вокзалу?
Will you turn on the TV?,Ты включишь телевизор?
Will you turn on the TV?,Ты включишь телевизор?
Will you turn on the television?,Ты включишь телевизор?
Will you turn on the television?,Ты включишь телевизор?
Wind accompanied the rain.,Ветер сопровождал дождь.
Wind accompanied the rain.,Ветер сопровождал дождь.
Winds from the sea are moist.,Ветер из моря влажный.
Winds from the sea are moist.,Ветер из моря влажный.
Wine helps digest food.,Вино помогает переваривать пищу.
Wine helps digest food.,Вино помогает переваривать пищу.
Wine is made from grapes.,Вино сделано из винограда.
Wine is made from grapes.,Вино сделано из винограда.
Wine is poetry filled in bottles.,"Вино - это поэзия, наполненная бутылками."
Wine is poetry filled in bottles.,"Вино - это поэзия, наполненная бутылками."
Winter in New York can be very cold.,Зима в Нью-Йорке может быть очень холодной.
Winter in New York can be very cold.,Зима в Нью-Йорке может быть очень холодной.
Winter is my favorite season.,Зима - мой любимый сезон.
Winter is my favorite season.,Зима - мой любимый сезон.
Winter is my favourite season.,Зима - это мой любимый сезон.
Winter is my favourite season.,Зима - мой любимый сезон.
Winter is the most favorite season of mine.,Зима - самый любимый сезон в моей жизни.
Winter is the most favorite season of mine.,Зима - самый любимый сезон в моей жизни.
Winter is the season I like best.,"Зима - это сезон, который мне больше всего нравится."
Winter is the season I like best.,"Зима - это сезон, который мне больше всего нравится."
Winter sports are very popular in our country.,Зимние виды спорта очень популярны в нашей стране.
